,ANIO_CREACION,REG_NAT,AREA_PROTEC,DEMAR_HIDRO,DIR_ZON,DPA_PROVIN,DPA_DESPRO,DPA_CANTON,DPA_DESCAN,DPA_PARROQ,DPA_DESPAR,AREA,NAM,EDEL,SUP_HA
21,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0403,ESPEJO,040352,LA LIBERTAD,RURAL,NORTE DEL ECUADOR,TERMINADO,"1493,964828"
22,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0405,MONTÚFAR,040550,SAN GABRIEL,URBANO,NORTE DEL ECUADOR,TERMINADO,"84,761589"
23,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0405,MONTÚFAR,040551,CRISTÓBAL COLÓN,RURAL,NORTE DEL ECUADOR,TERMINADO,"214,109774"
24,nan,REGIÓN SIERRA O INTERANDINA,SI,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0405,MONTÚFAR,040552,CHITÁN DE NAVARRETE,RURAL,NORTE DEL ECUADOR,TERMINADO,"1728,940993"
26,2021.0,REGIÓN SIERRA O INTERAnNDINA,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0406,SAN PEDRO DE HUACA,040650,HUACA,URBANO,NORTE DEL ECUADOR,TERMINADO,"720,665661"
27,2021.0,REGIÓN COSTA O LITORAL,nan,DEMARCACIàN HIDROGRµFICA MANABÍ,DIRECCIÓN ZONAL MANABÖ,13,MANABÖ,1303,CHONE,130356,RICAURTE,RURAL,RÍO GARRAPATA,TERMINADO,"1143,019598"
28,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,18,TUNGURAHUA,1806,QUERO,180650,QUERO,URBANO,HUAMBALÓ-LA MOYA,TERMINADO,"0,170876"
29,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,18,TUNGURAHUA,1807,SAN PEDRO DE PELILEO,180753,COTALÓ,RuRAL,HUAMBALÓ-LA MOYA,TERMINADO,"4,978255"
30,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,18,TUNGURAHUA,1807,SAN PEDRO DE PELILEO,180757,GUAMBALÓ,RURAL,HUAMBALÓ-LA MOYA,TERMINADO,"153,695604"
31,2021.0,REGIÓN COSTA O LITORAL,nan,DEMARCACIàN HIDROGRµFICA JUBONES,DIRECCIÓN ZONAL LOJA,7,EL ORO,0703,ATAHUALPA,070351,AYAPAMBA,RURAL,SANTA ROSA,TERMINADO,"742,035439"
32,2021.0,REGIÓN COTA O LITORAL,nan,DEMARCACIàN HIDROGRµFICA JUBONES,DIRECCIÓN ZONAL LOJA,7,EL ORO,0703,ATAHUALPA,070355,SAN JUAN DE CERRO AZUL,RURAL,SANTA ROSA,TERMINADO,"1,262616"
33,2021.0,REGIÓN COSTA O LITORAL,nan,DEMARCACIàN HIDROGRµFICA JUBONES,DIRECCIÓN ZONAL LOJA,7,EL ORO,0710,PIÑAS,071056,SARACAY,RURAL,SANTA ROSA,TERMINADO,"1,733524"
34,2021.0,REGIÓN COTA O LITORAL,nan,DEMARCACIàN HIDROGRµFICA JUBONES,DIRECCIÓN ZONAL LOJA,nan,EL ORO,0712,SANTA ROSA,071255,TORATA,RuRAL,SANTA ROSA,TERMINADO,"3920,194209"
35,2021.0,REGIÓN COSTA O LITORAL,nan,DEMARCACIàN HIDROGRµFICA JUBONES,DIRECCIÓN ZONAL LOJA,7,EL ORO,0712,SANTA ROSA,071257,BELLAMARÍA,RURAL,SANTA ROSA,TERMINADO,"0,404522"
36,2020.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,5,COTOPAXI,0504,PUJILÍ,050450,PUJILÍ,URBANO,SAN ISIDRO,TERMINADO,"64,665049"
37,2020.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,5,COTOPAXI,0504,PUJILÍ,050458,ZUMBAHUA,RURAL,SAN ISIDRO,TERMINADO,"2,185717"
38,2020.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,5,COTOPAXI,0505,SALCEDO,050552,CUSUBAMBA,RURAL,SAN ISIDRO,TERMINADO,"1005,127133"
39,2020.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,10,IMBABURA,1004,OTAVALO,100450,OTAVALO,URBANO,MOJANDITA CURUBÍ,TERMINADO,"539,141605"
40,nan,REGIÓN COTA O LITORAL,NO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,2020.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,17,PICHINCHA,1701,DISTRITO METROPOLITANO DE QUITO,170153,ATAHUALPA,RURAL,MOJANDITA CURUBÍ,TERMINADO,"10,591878"
42,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA SANTIAGO,DIRECCIÓN ZONAL AZUAY,1,AZUAY,0101,CUENCA,010154,CHECA,RURAL,CHINI-D3LEG,TERMINADO,"2,065013"
43,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA SANTIAGO,DIRECCIÓN ZONAL AZUAY,1,AZUAY,0101,CUENCA,010159,OCTAVIO CORDERO PALACIOS,RURAL,CHINI-D3LEG,TERMINADO,"2,296805"
44,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA SANTIAGO,DIRECCIÓN ZONAL AZUAY,3,CA¥AR,0302,BIBLIÁN,030251,NAZÓN,RURAL,CHINI-D3LEG,TERMINADO,"97,598597"
45,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA SANTIAGO,DIRECCIÓN ZONAL AZUAY,3,CA¥AR,0302,BIBLIÁN,030251,NAZÓN,RuRAL,CHINI-D3LEG,TERMINADO,"13,396746"
46,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA SANTIAGO,DIRECCIÓN ZONAL AZUAY,3,CA¥AR,0302,BIBLIÁN,030253,TURUPAMBA,RURAL,CHINI-D3LEG,TERMINADO,"0,633937"
47,2019.0,REGIÓN SIERRA O INTERAnNDINA,nan,DEMARCACIàN HIDROGRµFICA SANTIAGO,DIRECCIÓN ZONAL AZUAY,3,CA¥AR,0306,DÉLEG,030650,DÉLEG,URBANO,CHINI-D3LEG,TERMINADO,"1544,180285"
48,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA SANTIAGO,DIRECCIÓN ZONAL AZUAY,3,CA¥AR,0306,DÉLEG,030650,DÉLEG,URBANO,CHINI-D3LEG,TERMINADO,"459,567345"
