ANIO_CREACION;REG_NAT;AREA_PROTEC;DEMAR_HIDRO;DIR_ZON;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;DPA_PARROQ;DPA_DESPAR;AREA;NAM;EDEL;SUP_HA;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;0405;MONTÚFAR;040550;SAN GABRIEL;URBANO;NORTE DEL ECUADOR;CONCLUIDO;84,761589;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;0405;MONTÚFAR;040551;CRISTÓBAL COLÓN;RURAL;NORTE DEL ECUADOR;CONCLUIDO;214,109774;
;REGIÓN SIERRA O INTERANDINA;SI;;;;;;;;;;;;;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;0405;MONTÚFAR;040552;CHITÁN DE NAVARRETE;RURAL;NORTE DEL ECUADOR;CONCLUIDO;1728,940993;
2021;REGIÓN SIERRA O INTERAnNDINA;;DEMARCACIàN HIDROGRµFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;0406;SAN PEDRO DE HUACA;040650;HUACA;URBANO;NORTE DEL ECUADOR;CONCLUIDO;720,665661;
2021;REGIÓN COSTA O LITORAL;;DEMARCACIàN HIDROGRµFICA MANABÍ;DIRECCIÓN ZONAL MANABÖ;13;MANABÖ;1303;CHONE;130356;RICAURTE;RURAL;RÍO GARRAPATA;CONCLUIDO;1143,019598;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1806;QUERO;180650;QUERO;URBANO;HUAMBALÓ-LA MOYA;CONCLUIDO;0,170876;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;180753;COTALÓ;RuRAL;HUAMBALÓ-LA MOYA;CONCLUIDO;4,978255;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;180757;GUAMBALÓ;RURAL;HUAMBALÓ-LA MOYA;CONCLUIDO;153,695604;
2021;REGIÓN COSTA O LITORAL;;DEMARCACIàN HIDROGRµFICA JUBONES;DIRECCIÓN ZONAL LOJA;7;EL ORO;0703;ATAHUALPA;070351;AYAPAMBA;RURAL;SANTA ROSA;CONCLUIDO;742,035439;
2021;REGIÓN COTA O LITORAL;;DEMARCACIàN HIDROGRµFICA JUBONES;DIRECCIÓN ZONAL LOJA;7;EL ORO;0703;ATAHUALPA;070355;SAN JUAN DE CERRO AZUL;RURAL;SANTA ROSA;CONCLUIDO;1,262616;
2021;REGIÓN COSTA O LITORAL;;DEMARCACIàN HIDROGRµFICA JUBONES;DIRECCIÓN ZONAL LOJA;7;EL ORO;0710;PIÑAS;071056;SARACAY;RURAL;SANTA ROSA;CONCLUIDO;1,733524;
2021;REGIÓN COTA O LITORAL;;DEMARCACIàN HIDROGRµFICA JUBONES;DIRECCIÓN ZONAL LOJA;NULL;EL ORO;0712;SANTA ROSA;071255;TORATA;RuRAL;SANTA ROSA;CONCLUIDO;3920,194209;
2021;REGIÓN COSTA O LITORAL;;DEMARCACIàN HIDROGRµFICA JUBONES;DIRECCIÓN ZONAL LOJA;7;EL ORO;0712;SANTA ROSA;071257;BELLAMARÍA;RURAL;SANTA ROSA;CONCLUIDO;0,404522;
2020;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;5;COTOPAXI;0504;PUJILÍ;050450;PUJILÍ;URBANO;SAN ISIDRO;CONCLUIDO;64,665049;
2020;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;5;COTOPAXI;0504;PUJILÍ;050458;ZUMBAHUA;RURAL;SAN ISIDRO;CONCLUIDO;2,185717;
2020;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;5;COTOPAXI;0505;SALCEDO;050552;CUSUBAMBA;RURAL;SAN ISIDRO;CONCLUIDO;1005,127133;
2020;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA MIRA;DIRECCIÓN ZONAL IMBABURA;10;IMBABURA;1004;OTAVALO;100450;OTAVALO;URBANO;MOJANDITA CURUBÍ;CONCLUIDO;539,141605;
NULL;REGIÓN COTA O LITORAL;NO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2020;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA MIRA;DIRECCIÓN ZONAL IMBABURA;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170153;ATAHUALPA;RURAL;MOJANDITA CURUBÍ;CONCLUIDO;10,591878;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;1;AZUAY;0101;CUENCA;010154;CHECA;RURAL;CHINI-D3LEG;CONCLUIDO;2,065013;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;1;AZUAY;0101;CUENCA;010159;OCTAVIO CORDERO PALACIOS;RURAL;CHINI-D3LEG;CONCLUIDO;2,296805;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CA¥AR;0302;BIBLIÁN;030251;NAZÓN;RURAL;CHINI-D3LEG;CONCLUIDO;97,598597;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CA¥AR;0302;BIBLIÁN;030251;NAZÓN;RuRAL;CHINI-D3LEG;CONCLUIDO;13,396746;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CA¥AR;0302;BIBLIÁN;030253;TURUPAMBA;RURAL;CHINI-D3LEG;CONCLUIDO;0,633937;
2019;REGIÓN SIERRA O INTERAnNDINA;;DEMARCACIàN HIDROGRµFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CA¥AR;0306;DÉLEG;030650;DÉLEG;URBANO;CHINI-D3LEG;CONCLUIDO;1544,180285;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CA¥AR;0306;DÉLEG;030650;DÉLEG;URBANO;CHINI-D3LEG;CONCLUIDO;459,567345;
2019;REGIÓN ORIENTAL O AMAZÓNICA;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;16;PASTAZA;1602;MERA;160250;MERA;URBANO;RÍO PINDO GRANDE;CONCLUIDO;229,493092;
2018;REGIÓN ORIENTAL O AMAZÓNICA;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;15;NAPO;1507;QUIJOS;150753;PAPALLACTA;RURAL;PONCE PALUGUILLO;CONCLUIDO;4,436909;
2018;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170175;PIFO;RURAL;PONCE PALUGUILLO;CONCLUIDO;4256,188251;
2018;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHIiNCHA;1702;CAYAMBE;170250;CAYAMBE;URBANO;KAYAMBI;CONCLUIDO;2444,53092;
2018;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;99;PICHINCcHA;1702;CAYAMBE;170252;CANGAHUA;RURAL;KAYAMBI;CONCLUIDO;1208,826556;
2018;REGIÓN SIERRA O INTERAnNDINA;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;99;PICHINCHA;1702;CAYAMBE;170253;OLMEDO;RURAL;KAYAMBI;CONCLUIDO;3082,673332;
2018;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;99;PICHINCHA;1702;CAYAMBE;170256;SAN JOSÉ DE AYORA;RuRAL;KAYAMBI;TERMINADO;3184,529849;
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2020;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
2020;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
2020;.;.;999;.;.;.;.;.;.;.;.;.;.;.;
2020;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
2020;.;.;.;999;.;.;.;.;.;.;.;.;.;.;
