ANIO,FECHA_REGISTRO,REGION_FUENTE,NOMBRE_EXDH_DZ,PROVINCIA_FUENTE,CODIGO_DPA_CANTON,CANTON_FUENTE,PARROQUIA_FUENTE,TIPO_PARROQUIA_FUENTE,NOMBRE_EXCAC_OT,COORDENADA_X_FUENTE,COORDENADA_Y_FUENTE,COTA_FUENTE,PFAFSTETTER,SISTEMA_FUENTE,CUENCA_FUENTE,SUB_CUENCA_FUENTE,MICROCUENCA_FUENTE,TIPO_FUENTE,SITIO_CAPTACION_FUENTE,NOMBRE_FUENTE,NOMBRE_USO_APROVECHAMIENTO,NOMBRE_SUB_USO_APROVECHAMIENTO,GRUPO_USUARIO_AUTORIZADO,TIPO_USUARIO_AUTORIZADO,CODIGO_UNICO,CODIGO_PROCESO,ANIO_TRAMITE,NUMERO_PROCESO,CAUDAL_AUTORIZADO_LS,ESTADO_TRAMITE
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3150.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,VERTIENTE ZHUCUS HUAYCO N§ 4,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120963,SA-CU-002223-2001,2001.0,2223.0,0.05,CANCELADO
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3000.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,VERTIENTE PILATOS N§ 4,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120970,SA-CU-002223-2001,2001.0,2223.0,0.13,CANCELADO
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3120.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,REMANENTES,PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,RESUMENES VERTIENTE ZHUCUS HUAYCO N§ 6,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120965,SA-CU-002223-2001,2001.0,2223.0,0.03,CANCELADO
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3050.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,VERTIENTE PILATOS N§ 2,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120968,SA-CU-002223-2001,2001.0,2223.0,0.03,CANCELADO
2020.0,2020-08-04,COSTA,MANABI,MANABI,1302.0,BOLIVAR,CALCETA,CABECERA CANTONAL,CHONE,592170.0,9905150.0,31.0,15168.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,PREDIOS DE LA PROPIEDAD AL PIE DE UN PEQUEÑO CERRO,POZO,INDUSTRIAL,AVICOLA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-CH-000085-129258,MA-CH-000085-2016,2016.0,85.0,0.1,VIGENTE
2020.0,2020-08-04,COSTA,MANABI,MANABI,1302.0,BOLIVAR,CALCETA,CABECERA CANTONAL,CHONE,592505.0,9905030.0,23.0,15168.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,SITIO MOCOCHAL PREDIOS DE ELIAS BITAR,POZO,INDUSTRIAL,AVICOLA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-CH-000050-125478,MA-CH-000050-2015,2015.0,50.0,0.22,VIGENTE
2020.0,2020-08-28,SIERRA,MIRA,CARCHI,402.0,BOLIVAR,SAN VICENTE DE PUSIR,RURAL,IBARRA,828218.0,10055285.0,1648.0,15492.0,MIRA,RIO MIRA,RIO MIRA,RIO EL ANGEL,ACEQUIA,SAN VICENTE DE PUSIR / BOLIVAR,ACEQUIA CHOTA / CHIQUITA,RIEGO,USO EN GENERAL,COOPERATIVAS DE DISTINTA NATURALEZA,PARTICULAR,MI-IB-000177-122905,MI-IB-000177-2000,2000.0,177.0,60.0,VIGENTE
2020.0,2020-08-28,SIERRA,MIRA,CARCHI,402.0,BOLIVAR,SAN VICENTE DE PUSIR,RURAL,IBARRA,827933.0,10052780.0,1581.0,15493.0,MIRA,RIO MIRA,RIO MIRA,RIO APAQUI,"VERTIENTES, MANANTIAL, ACUIFERO",TUMBATU - SAN VICENTE DE PUSIR,"VERTIENTES SIN NOMBRE NO. 1,2,3,4 Y 5",TURISTICO,EXTENSIVO A OTROS USOS DE RECREATIVO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MI-IB-000179-112367,MI-IB-000179-2000,2000.0,179.0,3.5,VIGENTE
2020.0,2020-11-30,SIERRA,MIRA,CARCHI,402.0,BOLIVAR,LOS ANDES,RURAL,TULCAN,835874.0,10054504.0,2145.0,15493.0,MIRA,RIO MIRA,RIO MIRA,RIO APAQUI,"VERTIENTES, MANANTIAL, ACUIFERO",EL TAMBO,VERTIENTES SIN NOMBRE,RIEGO,CULTIVOS VARIOS,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MI-TL-000071-125290,MI-TL-000071-1991,1991.0,71.0,9.0,VIGENTE
2020.0,2020-01-08,SIERRA,GUAYAS,BOLIVAR,206.0,CALUMA,CALUMA,CABECERA CANTONAL,GUARANDA,701786.0,9826063.0,1115.0,14972.0,GUAYAS,RIO GUAYAS,RIO BABAHOYO-CATARAMA,RIO CLEMENTINA Y DREN AL RIO CATARAMA,"VERTIENTES, MANANTIAL, ACUIFERO",CALUMA / PARROQUIA MATRIZ / SECTOR HOYO BRAVO,VERTIENTE HOYO BRAVO,INDUSTRIAL,USO EN GENERAL PARA INDUSTRIA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,GU-GD-007021-126620,GU-GD-007021-2015,2015.0,7021.0,0.1,VIGENTE
2020.0,2020-03-09,SIERRA,GUAYAS,BOLIVAR,206.0,CALUMA,CALUMA,CABECERA CANTONAL,GUARANDA,697230.0,9818512.0,655.0,14972.0,GUAYAS,RIO GUAYAS,RIO BABAHOYO-CATARAMA,RIO CLEMENTINA Y DREN AL RIO CATARAMA,"VERTIENTES, MANANTIAL, ACUIFERO",CALUMA / PARROQUIA MATRIZ / SECTOR PISAGUA Y CABECERAS DE CALUMA,"VERTIENTES PISAHUA, HOYO BRAVO Y CABECERAS DE CALUMA",CONSUMO HUMANO,USO DOMESTICO EN GENERAL,JUNTAS ADMINISTRADORAS DE AGUA POTABLE,PARTICULAR,GU-GD-007323-126695,GU-GD-007323-2016,2016.0,7323.0,2.717,VIGENTE
2020.0,2020-04-17,SIERRA,GUAYAS,CAÑAR,303.0,CAÑAR,CHOROCOPTE,RURAL,CAÑAR,714061.0,9676790.0,3788.0,13969.0,CAÑAR,RIO CAÑAR,RIO CAÑAR ALTO,QUEBRADA PUCA HUAICO Y DREN HASTA LA QUEBRADA JIRINCAY,QUEBRADA,CANTON CAÑAR / PARROQUIA CHOROCOPTE / CERRO CABALO RUMI,VERTIENTE PELAS PUGRO / QUEBRADA PUCA HUAICO,RIEGO,EXTENSIVO A USO DOMESTICO Y ABREVADERO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,GU-CN-002084-119401,GU-CN-002084-1979,1979.0,2084.0,0.41,CANCELADO
2020.0,2020-03-13,ORIENTE,NAPO,NAPO,1509.0,CARLOS JULIO AROSEMENA,CARLOS JULIO AROSEMENA TOLA,CABECERA CANTONAL,TENA,844963.0,9871761.0,560.0,497897.0,NAPO,RIO NAPO,RIO NAPO,RIO JATUN YAKU,"VERTIENTES, MANANTIAL, ACUIFERO",ILA,VERTIENTE SIN NOMBRE,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,NA-TE-000491-114993,NA-TE-000491-2015,2015.0,491.0,17.0,VIGENTE
2020.0,2020-03-13,ORIENTE,NAPO,NAPO,1509.0,CARLOS JULIO AROSEMENA,CARLOS JULIO AROSEMENA TOLA,CABECERA CANTONAL,TENA,845382.0,9871350.0,511.0,497897.0,NAPO,RIO NAPO,RIO NAPO,RIO JATUNYACU,RIO,ILA,RIO ILA,ACUICULTURA,"CRIADEROS DE TRUCHAS, TILAPIAS, OTROS","PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,NA-TE-000491-118330,NA-TE-000491-2015,2015.0,491.0,37.0,VIGENTE
2020.0,2020-03-26,ORIENTE,NAPO,NAPO,1509.0,CARLOS JULIO AROSEMENA,CARLOS JULIO AROSEMENA TOLA,CABECERA CANTONAL,TENA,852147.0,9877266.0,503.0,497897.0,NAPO,RIO NAPO,RIO NAPO,RIO JATUNYACU,RIO,SHIGUACOCHA,RIO CHUMBIYACU,INDUSTRIAL,EXPLOTACION MINERA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,NA-TE-000836-119556,NA-TE-000836-2015,2015.0,836.0,5.0,CANCELADO
2020.0,2020-02-17,ORIENTE,NAPO,SUCUMBIOS,2106.0,CASCALES,SEVILLA,RURAL,NUEVA LOJA,926853.0,10009789.0,359.0,497865.0,NAPO,RIO NAPO,RIO AGUARICO,RIO CASACALES Y DREN AL RIO AGUARICO,ESTEROS,"SECTOR RECINTO SAN MIGUEL, PARROQUIA SEVILLA , CANTON LAGO AGRIO",ESTERO SN,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,NA-NL-000216-114942,NA-NL-000216-2012,2012.0,216.0,4.32,VIGENTE
2020.0,2020-04-11,SIERRA,ESMERALDAS,PICHINCHA,1702.0,CAYAMBE,CANGAHUA,RURAL,QUITO,813849.0,9989694.0,3580.0,15246.0,ESMERALDAS,RIO ESMERALDAS,RIO  GUAYLLABAMBA,RIO GUAMBI,"VERTIENTES, MANANTIAL, ACUIFERO",NO DETERMINADA,VERTIENTE PUCYU UCU,ABREVADERO SOBERANIA ALIMENTARIA,USO DE ABREVADERO EN GENERAL,AGRUPACIONES DE USUARIOS DE DISTINTA INDOLE,PARTICULAR,ES-QU-000244-120529,ES-QU-000244-2014,2014.0,244.0,0.49,VIGENTE
2020.0,2020-04-11,SIERRA,ESMERALDAS,PICHINCHA,1702.0,CAYAMBE,CANGAHUA,RURAL,QUITO,813849.0,9989694.0,3580.0,15246.0,ESMERALDAS,RIO ESMERALDAS,RIO  GUAYLLABAMBA,RIO GUAMBI,"VERTIENTES, MANANTIAL, ACUIFERO",NO DETERMINADA,VERTIENTE PUCYU UCU,ABREVADERO SOBERANIA ALIMENTARIA,USO DE ABREVADERO EN GENERAL,AGRUPACIONES DE USUARIOS DE DISTINTA INDOLE,PARTICULAR,ES-QU-000244-120530,ES-QU-000244-2014,2014.0,244.0,0.02,VIGENTE
2020.0,2020-04-12,SIERRA,ESMERALDAS,PICHINCHA,1702.0,CAYAMBE,CANGAHUA,RURAL,QUITO,813849.0,9989694.0,3580.0,15246.0,ESMERALDAS,RIO ESMERALDAS,RIO  GUAYLLABAMBA,RIO GUAMBI,"VERTIENTES, MANANTIAL, ACUIFERO",NO DETERMINADA,VERTIENTE PUCYU UCU,RIEGO,USO EN GENERAL,AGRUPACIONES DE USUARIOS DE DISTINTA INDOLE,PARTICULAR,ES-QU-000244-120732,ES-QU-000244-2014,2014.0,244.0,0.78,VIGENTE
